0 0.734098 2.49736 2.85911 7.88946 6.04813 5.27953 4.37576 9.95905 5.50523 10.1811 7.81525 8.66703 9.3137 9.15726 8.42882 10.2845 13.0357 9.32278 11.9014 
0.734098 0 1.82661 2.85671 7.21871 5.37738 4.60878 3.64166 9.2883 4.77113 9.51034 7.08115 7.93293 8.64295 8.42316 7.69472 9.61378 12.365 8.58868 11.2306 
2.49736 1.82661 0 2.7821 5.39211 3.55077 2.78218 2.06828 7.46169 3.03949 7.68373 5.37208 6.20129 6.81634 6.69152 5.97022 7.78717 10.5383 6.85704 9.40403 
2.85911 2.85671 2.7821 0 8.17421 6.33288 5.56428 2.67606 10.2438 3.6787 10.4658 6.01129 6.8405 8.07634 7.33072 6.60943 8.94269 11.7943 7.49625 10.345 
7.88946 7.21871 5.39211 8.17421 0 1.84133 3.08756 6.03348 2.62937 6.00361 2.83783 6.68099 6.95501 7.12172 7.44542 7.82721 8.09255 6.34165 8.84416 8.64578 
6.04813 5.37738 3.55077 6.33288 1.84133 0 1.34629 4.29222 3.91092 4.26235 4.13296 4.93973 5.21375 5.38046 5.70415 6.08594 6.35128 7.6232 7.1029 7.96814 
5.27953 4.60878 2.78218 5.56428 3.08756 1.34629 0 2.94593 5.25721 2.91606 5.47925 3.59344 3.86745 4.03417 4.35786 4.73965 5.00499 7.75617 5.75661 6.62185 
4.37576 3.64166 2.06828 2.67606 6.03348 4.29222 2.94593 0 8.20314 1.12947 8.42518 3.43949 4.29127 5.51229 4.7815 4.05306 6.39346 9.23429 4.94702 7.79581 
9.95905 9.2883 7.46169 10.2438 2.62937 3.91092 5.25721 8.20314 0 8.17327 0.222036 8.85065 8.66606 7.43428 8.25706 9.96626 6.56387 3.71228 10.4109 6.0164 
5.50523 4.77113 3.03949 3.6787 6.00361 4.26235 2.91606 1.12947 8.17327 0 8.39531 2.33259 3.1618 4.39764 3.65203 2.93073 5.26399 8.11559 3.81755 6.66634 
10.1811 9.51034 7.68373 10.4658 2.83783 4.13296 5.47925 8.42518 0.222036 8.39531 0 9.07269 8.54718 7.3154 8.13819 9.84737 6.44499 3.5934 10.292 5.89752 
7.81525 7.08115 5.37208 6.01129 6.68099 4.93973 3.59344 3.43949 8.85065 2.33259 9.07269 0 0.88837 2.0728 1.36033 1.14621 2.98107 5.7948 2.16317 4.38386 
8.66703 7.93293 6.20129 6.8405 6.95501 5.21375 3.86745 4.29127 8.66606 3.1618 8.54718 0.88837 0 1.23584 0.490408 1.50526 2.10219 4.95379 2.31631 3.50454 
